host-relay init
host-TS init
SEMA4_mod init
host-shm init
host-create init
key:800  id:16711683  ptr:e5470000
finish init shmem
Start tracing......
tb total cycle cnt = 1, load = 0, store = 0
tb total cycle cnt = 12, load = 0, store = 0
tb total cycle cnt = 25, load = 0, store = 0
tb total cycle cnt = 40, load = 0, store = 0
tb total cycle cnt = 55, load = 0, store = 0
tb total cycle cnt = 70, load = 0, store = 0
tb total cycle cnt = 85, load = 0, store = 0
tb total cycle cnt = 100, load = 0, store = 0
tb total cycle cnt = 115, load = 0, store = 0
tb total cycle cnt = 130, load = 0, store = 0
tb total cycle cnt = 145, load = 0, store = 0
tb total cycle cnt = 160, load = 0, store = 0
tb total cycle cnt = 175, load = 0, store = 0
tb total cycle cnt = 190, load = 0, store = 0
tb total cycle cnt = 205, load = 0, store = 0
tb total cycle cnt = 220, load = 0, store = 0
tb total cycle cnt = 235, load = 0, store = 0
tb total cycle cnt = 249, load = 0, store = 0
tb total cycle cnt = 253, load = 0, store = 0
tb total cycle cnt = 266, load = 0, store = 0
tb total cycle cnt = 280, load = 0, store = 0
tb total cycle cnt = 290, load = 0, store = 0
tb total cycle cnt = 300, load = 0, store = 0
tb total cycle cnt = 310, load = 0, store = 0
tb total cycle cnt = 320, load = 0, store = 0
tb total cycle cnt = 330, load = 0, store = 0
tb total cycle cnt = 340, load = 0, store = 0
tb total cycle cnt = 350, load = 0, store = 0
tb total cycle cnt = 360, load = 0, store = 0
tb total cycle cnt = 370, load = 0, store = 0
tb total cycle cnt = 380, load = 0, store = 0
tb total cycle cnt = 390, load = 0, store = 0
tb total cycle cnt = 400, load = 0, store = 0
tb total cycle cnt = 410, load = 0, store = 0
tb total cycle cnt = 420, load = 0, store = 0
tb total cycle cnt = 430, load = 0, store = 0
tb total cycle cnt = 440, load = 0, store = 0
tb total cycle cnt = 450, load = 0, store = 0
tb total cycle cnt = 460, load = 0, store = 0
tb total cycle cnt = 470, load = 0, store = 0
tb total cycle cnt = 480, load = 0, store = 0
tb total cycle cnt = 490, load = 0, store = 0
tb total cycle cnt = 500, load = 0, store = 0
tb total cycle cnt = 510, load = 0, store = 0
tb total cycle cnt = 520, load = 0, store = 0
tb total cycle cnt = 530, load = 0, store = 0
tb total cycle cnt = 540, load = 0, store = 0
tb total cycle cnt = 550, load = 0, store = 0
tb total cycle cnt = 560, load = 0, store = 0
tb total cycle cnt = 570, load = 0, store = 0
tb total cycle cnt = 580, load = 0, store = 0
tb total cycle cnt = 590, load = 0, store = 0
tb total cycle cnt = 600, load = 0, store = 0
tb total cycle cnt = 610, load = 0, store = 0
tb total cycle cnt = 620, load = 0, store = 0
tb total cycle cnt = 630, load = 0, store = 0
tb total cycle cnt = 640, load = 0, store = 0
tb total cycle cnt = 650, load = 0, store = 0
tb total cycle cnt = 660, load = 0, store = 0
tb total cycle cnt = 670, load = 0, store = 0
tb total cycle cnt = 680, load = 0, store = 0
tb total cycle cnt = 690, load = 0, store = 0
tb total cycle cnt = 700, load = 0, store = 0
tb total cycle cnt = 710, load = 0, store = 0
tb total cycle cnt = 720, load = 0, store = 0
tb total cycle cnt = 730, load = 0, store = 0
tb total cycle cnt = 740, load = 0, store = 0
tb total cycle cnt = 750, load = 0, store = 0
tb total cycle cnt = 760, load = 0, store = 0
tb total cycle cnt = 770, load = 0, store = 0
tb total cycle cnt = 780, load = 0, store = 0
tb total cycle cnt = 790, load = 0, store = 0
tb total cycle cnt = 800, load = 0, store = 0
tb total cycle cnt = 810, load = 0, store = 0
tb total cycle cnt = 820, load = 0, store = 0
tb total cycle cnt = 830, load = 0, store = 0
tb total cycle cnt = 840, load = 0, store = 0
tb total cycle cnt = 850, load = 0, store = 0
